Brand,Color_Group,Stars,Num_Ratings,Num_Reviews,RAM,Storage,Expandable,Processor_Brand,Display,Total_Cameras,Battery_Capacity,Price
SAMSUNG,Blue,4.4,126250,7344,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Exynos processor,6.6,4,6000.0,9699
POCO,Green,4.4,3204,151,2 GB RAM ,32 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.52,2,5000.0,5749
POCO,Blue,4.4,3204,151,2 GB RAM ,32 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.52,2,5000.0,5749
REDMI,Green,4.3,193536,12428,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.7,3,6000.0,9299
REDMI,Blue,4.3,193536,12428,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.7,3,6000.0,9299
SAMSUNG,Green,4.4,126250,7344,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Exynos processor,6.6,4,6000.0,9699
REDMI,Black,4.3,193536,12428,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.7,3,6000.0,9299
Infinix,Green,4.4,10577,614,4 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.82,1,6000.0,8199
Infinix,Black,4.4,10577,614,4 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.82,1,6000.0,8199
Infinix,Other,4.4,10577,614,4 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.82,1,6000.0,8199
Infinix,Blue,4.4,10577,614,4 GB RAM ,64 GB ROM,Expandable Upto 256 GB,Mediatek processor,6.82,1,6000.0,8199
SAMSUNG,Other,4.4,126250,7344,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Exynos processor,6.6,4,6000.0,9699
APPLE,Other,4.7,18135,782,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,71999
SAMSUNG,Green,4.3,162545,12915,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,14999
REDMI,Black,4.3,193536,12428,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.7,3,6000.0,9299
APPLE,White,4.6,185978,10886,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,40999
SAMSUNG,Blue,4.3,162545,12915,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,14999
POCO,Yellow,4.3,41988,3602,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.6,3,5000.0,12999
MOTOROLA,Black,4.2,11183,1342,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,10999
MOTOROLA,Blue,4.1,13922,1442,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.4,4,5000.0,10999
SAMSUNG,Other,4.3,162545,12915,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,14999
MOTOROLA,White,4.2,29286,3424,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,12999
REDMI,Orange,4.3,193536,12428,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.7,3,6000.0,9299
MOTOROLA,Black,4.2,29286,3424,6 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.6,4,5000.0,12999
MOTOROLA,Green,4.1,3542,390,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,7749
APPLE,Blue,4.7,18135,782,4 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,71999
MOTOROLA,White,4.1,3542,390,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Unisoc processor,6.5,2,5000.0,7749
Infinix,Blue,4.3,19904,1412,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Other processor,6.82,3,6000.0,8499
Infinix,Other,4.3,19904,1412,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Other processor,6.82,3,6000.0,8499
MOTOROLA,Grey,4.2,35126,3935,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.4,4,5000.0,9499
Infinix,White,4.3,1735,218,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.7,3,5000.0,9999
APPLE,Black,4.6,185978,10886,4 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Mediatek processor,6.1,3,5000.0,40999
POCO,Blue,4.2,76042,7634,6 GB RAM ,64 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.67,4,5000.0,15999
POCO,Black,4.2,56668,4315,4 GB RAM ,64 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.58,3,5000.0,11999
MOTOROLA,Blue,4.1,5605,562,8 GB RAM ,128 GB ROM,Expandable Upto 1 TB,Qualcomm processor,6.55,4,5000.0,16499
Infinix,Black,4.4,24477,1370,2 GB RAM ,32 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.6,2,5000.0,5799
Infinix,Blue,4.4,24477,1370,2 GB RAM ,32 GB ROM,Expandable Upto 512 GB,Mediatek processor,6.6,2,5000.0,5799
